,is_free_shipping,product_name,start_price,end_price,is_prompt,start_time,end_time,timedelta,bidders,setsumei,good,bad,capture_count
0,0,Apple純正 AirPods 第2世代 イヤホン MV7N2J/A 充電ケース＋lighteningケーブルのみ イヤホン無し 新品未使用品,7200,7200,1,2019-10-23 09:10:40,2019-10-24 00:22:17,15.0,1,Apple純正 AirPods 第2世代 イヤホン MV7N2J/A 充電ケース＋lighteningケーブルのみ イヤホン無し 新品未使用品セット内容純正充電ケース純正lighteningケーブル箱クイックスタートガイド※充電ケースとlighteningケーブルのみになります。ワイヤレス充電には対応していません。イヤホンはありません。ご注意下さい。配送は以下にて行います。レターパックプラス 全国一律送料520円（追跡番号有り 保証無し）お支払いはヤフオク簡単決済のみになります。,2744,10,0
1,1,【新品・未開封・送料込】AirPods 第2世代 Apple AirPods with Charging Case MV7N2J/A,18000,18000,1,2019-10-23 12:01:13,2019-10-23 22:16:39,10.0,1,商品に興味をもっていただき、ありがとうございます。以下お読みいただき、入札をお待ちしています。使用しない為、出品します。【商品の説明】ブランド・メーカー : Apple型番: MV7N2J/A【商品の状態】使用状況 :新品・未開封注意事項 :購入日は、2019年9月になります。※初期不良・不具合は、すべてメーカー対応になります。【その他】※何かあれば、必ず事前にご質問下さい。 ※落札後12時間以内にご入金または、ご連絡いただけない場合は、落札者都合でのキャンセルとさせて頂きます。 ※yahoo!かんたん決済のみ対応※落札後の連絡は、全て取引ナビで対応になります。※梱包は気泡緩衝材とダンボールで梱包致します。なるべく綺麗な状態で、落札者様にお届けできるように心がけます。,195,2,0
2,1,【新品未開封・送料無料】Apple AirPods 第２世代 with Charging Case　MV7N2J/A,17980,17980,1,2019-10-23 12:02:31,2019-10-23 13:26:54,1.0,1,商品名　　air pods(第２世代)メーカー　apple型番　MV7N2J/AJAN 4549995069389令和元年10月購入納品書を付属します。シュリンク包装未開封です。商品説明●自動でオンになり、自動で接続●すべてのApple製デバイスで簡単に設定●「Hey Siri」と声をかけるだけで瞬時にSiriへアクセス●ダブルタップで再生またはスキップ●新しいApple H1ヘッドフォンチップで、デバイスとのワイヤレス接続がさらに速く仕様・Bluetooth：ワイヤレス・重量：AirPods（左右各）：4 g・Charging Case：38 g・サイズ：AirPods（左右各）：16.5 × 18.0 × 40.5 mm・Charging Case：44.3 × 21.3 × 53.5 mm・接続：AirPods：Bluetooth・Charging Case：Lightningコネクタ・アクセシビリティ：オーディオのライブリスニング・AirPodsセンサー（左右各）：デュアルビームフォーミングマイクロフォン・デュアル光学センサー・動きを感知する加速度センサー・音声を感知する加速度センサー・付属品：AirPods、充電ケース、Lightning - USBケーブル●システム条件・iOS 12.2以降を搭載したiPhone、iPad、iPod touchのモデル・watchOS 5.2以降を搭載したApple Watchのモデル・macOS 10.14.4以降を搭載したMacのモデル・tvOS 12.2以降を搭載したApple TVモデル・AirPods with Charging Case：24時間以上の再生時間、最大18時間の連続通話時間・AirPods（1回の充電）：最大5時間の再生時間、最大3時間の連続通話時間・Charging Caseで15分充電：最大3時間の再生時間、または最大2時間の連続通話時間※初期不良、修理などにおきましては全てapple社での対応となります,228,0,0
3,1,[新品未使用品]AirPods (エアーポッズ/第2世代) with Charging Case 2019年 新型 MV7N2J/A 【純正】 [ワイヤレス(左右分離) /Bluetooth],1,19000,1,2019-10-20 02:36:53,2019-10-23 12:36:52,81.0,52,[新品未使用品]AirPods (エアーポッズ/第2世代) with Charging Case 2019年 新型 ブルートゥースイヤホン フルワイヤレス インナーイヤー型 MV7N2J/A 【純正】 [ワイヤレス(左右分離) /Bluetooth]商品の説明の通りです。ご理解ある方よろしくお願い申し上げます。* ～商品説明～*さらに魔法に近づきました。新しいAirPodsはワイヤレスヘッドフォンの体験を一新します。ケースから取り出すだけで、あなたのiPhone、Apple Watch、iPad、Macと一緒に使えます。ワンタップのシンプルな設定で、AirPodsは魔法のように機能します。自動的にオンになり、いつでも接続された状態になります。耳に装着されたことを感知するので、耳から外すと一時停止します。AirPodsは両耳でも片耳だけでも使えます。音量を調節したり、曲を変えたり、電話をかけたり、道順を調べたい時は「Hey Siri」と声をかけて頼むだけ。ダブルタップして、音楽のトラックやPodcastの番組を再生したりスキップすることもできます。AirPodsは1回の充電で5時間の再生1と3時間の通話ができます2。しかも24時間以上聴き続けられるように複数回充電できる充電ケースもついているので、AirPodsはあなたの毎日にしっかりついていきます3。急いでいる時は、ケースで15分充電するだけで、3時間の再生4または2時間の通話ができるようになります5。まったく新しいApple H1ヘッドフォンチップで駆動するAirPodsは、光学センサーとモーション加速度センサーによって、あなたの耳に装着されたことを感知します。両耳で聴く時も、片耳だけの場合も、H1チップはイヤフォンへのオーディオの送信とマイクロフォンの接続を自動で行います。通話中やSiriに話しかけている時には、音声を検知するもう一つの加速度センサーがビームフォーミングマイクロフォンと連係しながら、周囲のノイズを取り除いてあなたの声に狙いを定めます。★゜'・:*:・'゜☆。.:*:・'*:・'゜☆。.:*:・'゜★゜'・:*:・'゜☆。.:*:・'゜★゜'・:*:・'゜☆。.:*:・'゜★゜'・:*:・'゜☆。.:*:・'゜★★新品・未使用☆頂き物、かつ個人所有につき、神経質な方のご入札はご遠慮ください。★落札後の返品、キャンセルはご遠慮ください。★落札後、落札者様の都合で以前にキャンセルされた方は自動的にキャンセルさせて頂きますのでご理解ご了承願います。送料込み★ノークレーム、ノーリターンご理解ご了承頂ける方宜しくお願い致します。★悪い評価５以上の方は削除させて頂きますのでご了承願います。★゜'・:*:・'゜☆。.:*:・'*:・'゜☆。.:*:・'゜★゜'・:*:・'゜☆。.:*:・'゜★゜'・:*:・'゜☆。.:*:・'゜★゜'・:*:・'゜☆。.:*:・'゜★,115,0,0
4,1,Apple AirPods with Charging Case 第2世代 MV7N2J/A 新品,18000,18000,1,2019-10-23 04:40:05,2019-10-23 11:40:50,7.0,1,Apple AirPods with Charging Case 第2世代 MV7N2J/Aの未開封新品になります。(2019年9月購入納品書あり)詳細はこちらを御覧ください。宅急便コンパクト(箱型)で発送します。,161,0,0
5,0,Apple純正 AirPods 第2世代 イヤホン MV7N2J/A 充電ケース＋lighteningケーブルのみ イヤホン無し 新品未使用品,7200,7200,1,2019-10-23 05:01:38,2019-10-23 08:37:00,3.0,1,Apple純正 AirPods 第2世代 イヤホン MV7N2J/A 充電ケース＋lighteningケーブルのみ イヤホン無し 新品未使用品セット内容純正充電ケース純正lighteningケーブル箱クイックスタートガイド※充電ケースとlighteningケーブルのみになります。ワイヤレス充電には対応していません。イヤホンはありません。ご注意下さい。配送は以下にて行います。レターパックプラス 全国一律送料520円（追跡番号有り 保証無し）お支払いはヤフオク簡単決済のみになります。,2744,10,0
6,0,Apple純正 AirPods 第2世代 右 イヤホン MV7N2J/A 右耳のみ 新品未使用品,7000,7000,1,2019-10-21 02:25:19,2019-10-23 04:21:06,49.0,1,Apple純正 AirPods 第2世代 右 イヤホン MV7N2J/A 右耳のみ 新品未使用品Apple純正 AirPods 第2世代 右 イヤホン MV7N2J/A 右耳のみ 新品未使用品になります。※右耳のみになります。ご注意下さい。配送は以下にて行います。定形外 全国一律送料120円（追跡番号無し 保証無し）スマートレター 全国一律送料 180円 （追跡番号無し 保証無し）レターパックライト 全国一律送料 370円（追跡番号有り 保証無し）レターパックプラス 全国一律送料520円（追跡番号有り 保証無し）お支払いはヤフオク簡単決済のみになります。,2744,10,0
7,0,Apple純正 AirPods 第2世代 イヤホン MV7N2J/A 充電ケース＋lighteningケーブルのみ イヤホン無し 新品未使用品,7200,7200,1,2019-10-22 20:10:15,2019-10-23 02:32:32,6.0,1,Apple純正 AirPods 第2世代 イヤホン MV7N2J/A 充電ケース＋lighteningケーブルのみ イヤホン無し 新品未使用品セット内容純正充電ケース純正lighteningケーブル箱クイックスタートガイド※充電ケースとlighteningケーブルのみになります。ワイヤレス充電には対応していません。イヤホンはありません。ご注意下さい。配送は以下にて行います。レターパックプラス 全国一律送料520円（追跡番号有り 保証無し）お支払いはヤフオク簡単決済のみになります。,2744,10,0
8,1,Apple AirPods with Charging Case 第2世代 MV7N2J/A 新品,18000,18000,1,2019-10-22 12:36:34,2019-10-22 22:50:27,10.0,1,Apple AirPods with Charging Case 第2世代 MV7N2J/Aの未開封新品になります。(2019年9月購入納品書あり)詳細はこちらを御覧ください。宅急便コンパクト(箱型)で発送します。,161,0,2
9,1,新品未使用 AirPods (エアーポッズ/第2世代) with Charging Case 2019年 新型 Bluetooth MV7N2J/A ,18500,18500,1,2019-10-22 04:31:07,2019-10-22 22:04:02,17.0,1,新品未使用品 AirPods (エアーポッズ/第2世代) with Charging Case 2019年 新型 ブルートゥースイヤホン フルワイヤレス インナーイヤー型 MV7N2J/A,16,0,0
10,0,Apple純正 AirPods 第2世代 イヤホン MV7N2J/A 充電ケース＋lighteningケーブルのみ イヤホン無し 新品未使用品,7200,7200,1,2019-10-22 08:06:40,2019-10-22 17:21:21,9.0,1,Apple純正 AirPods 第2世代 イヤホン MV7N2J/A 充電ケース＋lighteningケーブルのみ イヤホン無し 新品未使用品セット内容純正充電ケース純正lighteningケーブル箱クイックスタートガイド※充電ケースとlighteningケーブルのみになります。ワイヤレス充電には対応していません。イヤホンはありません。ご注意下さい。配送は以下にて行います。レターパックプラス 全国一律送料520円（追跡番号有り 保証無し）お支払いはヤフオク簡単決済のみになります。,2744,10,0
