,is_free_shipping,product_name,start_price,end_price,is_prompt,start_time,end_time,timedelta,bidders,setsumei,good,bad,capture_count
0,1,送料無料/おまけあり/第2世代/第二世代/2019/新型/新品未使用/正規品/左耳のみ/左のみ/左側のみ/Apple AirPods/エアーポッズ/アップル/ト,6700,6700,1,2019-10-12 09:15:58,2019-10-12 23:28:37,14.0,1,送料無料■左耳のみ■第2世代、新型のAirPods（2019年版）■新品未使用■Apple正規品 ■おまけとして、写真にうつっているイヤピース（両耳）をお付けします。,663,37,0
1,1,新品 未使用 AirPods with Charging Case 新型(エアーポッズ/第2世代) MV7N2J/A 【純正】,17000,18500,1,2019-10-09 14:39:07,2019-10-12 14:39:07,72.0,1,新品 未使用 AirPods with Charging Case 新型(エアーポッズ/第2世代) MV7N2J/A 【純正】商品説明～Apple AirPods with Charging Case (最新モデル)～★新品未開封で、保存状態は良好です。★商品詳細・商品※内容物はすべてそろっていますAirPods（左右）Charging Case・接続AirPods：BluetoothCharging Case：Lightningコネクタ・充電AirPods（1回の充電）：最大5時間の再生、最大3時間の連続通話Charging Caseで15分充電：最大3時間の再生、または最大2時間の連続通話～補足～★当方、ペットは飼っておりません★タバコは吸っておりません注意事項☆こちらからの連絡を待たず、必要事項のご連絡をお願いします。☆商品を緩衝材等で保護し、レターパックプラスで無料発送します。☆商品の到着日を含めて必ず5日以内に商品をご確認ください。万が一商品説明と異なる重大な欠陥や破損があった場合は、商品の到着を含めて5日以内にご連絡をいただければ返品・返金をうけたまわります。☆評価の悪い方は入札の取り消し、もしくは落札キャンセルをさせて頂く場合が御座いますのでご了承下さい。発送詳細■Yahoo!かんたん決済 こちらの商品案内は 「■@即売くん4.85■」 で作成されました。この他にも出品しておりますので宜しければご覧ください。,200,0,3
2,0,Apple純正 AirPods 第2世代 イヤホン MV7N2J/A 充電ケース＋lighteningケーブルのみ イヤホン無し 新品未使用品,7300,7300,1,2019-10-11 04:07:15,2019-10-12 14:22:19,34.0,1,Apple純正 AirPods 第2世代 イヤホン MV7N2J/A 充電ケース＋lighteningケーブルのみ イヤホン無し 新品未使用品セット内容純正充電ケース純正lighteningケーブル箱クイックスタートガイド※充電ケースとlighteningケーブルのみになります。ワイヤレス充電には対応していません。イヤホンはありません。ご注意下さい。配送は以下にて行います。レターパックプラス 全国一律送料520円（追跡番号有り 保証無し）お支払いはヤフオク簡単決済のみになります。,2744,10,0
3,0,最終★税込【新品/未開封品/未使用品】AirPods 第2世代 with charging Cace MV7N2J/A☆A1602 Apple エアーポッズ ワイヤレス イヤホン,17500,17500,1,2019-10-10 07:47:09,2019-10-12 13:43:17,53.0,1,"ご覧頂き誠にありがとうございます♪♪落札しても安心のモバックスです♪♪※即送に努めます♪★落札者手数料、消費税8％は不要です♪お買い得♪★      **送料一律\700円★税込価格**（但し北海道は別途\500円・沖縄は別途\1000円。一部離島は別途\1000円の別途料金を頂きます）   ■【詳細】 ●メーカー・・・・Apple ●型番・・・・・・・AirPods 第2世代 with charging Cace  ( MV7N2J/A  )  ●状態・・・・・・・【新品未開封品】※購入後、未開封の商品です。  ●付属品・・・・・・・・新品標準セット揃っております♪  ●シリアル番号・・・GRMZC67GLX2Y    ※神経質な方は、入札をご遠慮下さい！！ノークレーム・ノーリターンでお願いします。※返品交換は受け付けませんのでご了承下さいませ♪★商品輸送時や倉庫保管時に外箱パッケージ等に若干のキズや凹みができてしまう場合がございますがご了承下さい。※商品によっては保管期間を含む場合がございますがご了承ください。※初期不良等の保証はメーカー対応となっております。【定休日】毎週火曜日※定休日の、発送・対応等出来ません。 月曜日13時の決済確定確認分までの対応となりますのでご了承下さい。 お客様には大変ご迷惑をお掛け致しますが、翌日水曜日より、順次対応させていただきます。 あらかじめご了承下さいませ。   ★★送料一律\700円です★★（但し北海道は別途\500円、沖縄は別途\1000円、一部離島は別途\1000円の別途料金を頂きます）※配送業者の関しましては基本は佐川急便出の発送になりますが、配送状況によりゆうパック等にこちらで変更させていただく場合がございますので予めご了承下さい。 ※代引きは、別途手数料が必要になります。（60サイズ以上は対応不可です）▼料金別代引き手数料一覧 （落札価格＋送料の合計金額により異なります。）[ 1万円以下 ]  324円[ 3万円以下 ]  432円[10万円以下]  648円[30万円以下] 1,080円ご了承の程よろしくお願い致します。（悪い評価が目立つ方、評価が15未満の方の代引きは、お断りさせて 頂きますので、予めご了承下さい。）    ※注意事項※ （ご確認の上、入札にご参加下さい。） (商品発送までスムーズにする為、ご協力お願い致します。) ※ヤフー取引ナビ以外からの、不審なメール等にはご注意下さい。落札後、何か不審な点（電話又はメール）がありましたら、当店に直接お電話又はヤフー取引ナビよりご連絡下さい。 ◆お約束として、落札後24時間以内にご連絡、振込案内のメールから３日以内にご入金（土日祝は除く）をお願い致します。１５時までに入金確認した場合、即日発送致します。１５時以降の確認も出来る限り、即日発送を心掛けております。佐川急便での発送となります。  ◆落札後キャンセル・連絡無し等トラブルが多い為、新規ＩＤ・悪い評価が目立つ方の入札は、取り消しさせて頂く場合がございますので予めご了承下さい。前記に該当する方や評価１０未満の方が落札された場合、落札から１２時間以内に商品発送先の、郵便番号・ご住所・お名前・電話番号・お振込み方法＆予定日を、（ヤフオク）取引ナビよりお送り下さい。時間内にご連絡頂けない時は、キャンセルとみなし落札削除させていただきます。その際、自動的に悪い評価がつきますのでご注意下さい。 評価が著しく悪い方の入札は、ご遠慮願います。 ◆ 全てのキャリアの端末について、初期化の際に購入時のプリインストールのデータ（アプリやデコメールなど）が、削除される端末がありますのでご了承下さ い。お手数ですが必要な方は、各キャリアや端末メーカーのホームページからダウンロードして下さい。一部出来ない端末もあります。 ◆オークションという性質上、原則ノークレーム・ノーリターンでお願い致します。細かな傷やほこり等に神経質な方、注意事項など気になる方は入札をお控え下さい。 ★～Yahooかんたん決済をご利用になられる方へ～★携帯電話などの決済処理された代金は、落札者が受け取り完了手続きをするまで一定期間、Yahoo側が預かる形となっております。つきましては商品の到着・ご確認後、速やかに受け取り完了手続きをお取りになって頂きます様、ご協力宜しくお願い致します。 ～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～＊商品販売価格：落札価格＋送料、＊代金支払時期：落札後３日以内（土日祝は除く）、＊代金支払方法：かんたん決済、代引き＊商品引渡時期：入金確認後２日以内発送、＊引取特約事項：店頭販売は当店保証規定に従い対応、携帯端末リサイクルショップ、≪モバックス（mobax）≫梅田ヨドバシ前店大阪市北区芝田2丁目2番13号日生ビル東館2階 207A号室TＥＬ＆ＦＡＸ：06－6136－6127 (他の機種なども色々入荷・激安販売中！)※携帯電話以外にも、ノートパソコン・ゲーム機・デジカメ・iPod等の小型電化製品も買取販売してます。 郵送も大歓迎ですので、宜しくお願い致します。(故障・水没・盗難品などを除く）古物商許可証：大阪府公安委員会、第６２１１５０１４３３５３号～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～お支払い金額★落札価格＋送料一律\700円（但し北海道は別途\500円、沖縄は別途\1000円、一部離島は別途\1000円別途料金を頂きます）※代引き手数料は正規代引手数料になります。（落札金額により変動がありますので、代引きの場合は落札後に計算してお知らせいたします♪）お支払い方法◆Yahooかんたん決済     ◆代引きお取引方法オークション終了↓落札者：発送先、お支払い方法の連絡・代金お支払い及び支払い完了連絡↓落札者：受取完了連絡",1519,5,6
4,1,"新品 保証スタート Apple AirPods with Charging Case 第2世代 MV7N2J/A 送料無料 在庫処分 1,000円～",910,15500,0,2019-10-07 08:53:47,2019-10-12 13:35:31,124.0,20,"新品 保証スタート Apple AirPods with Charging Case 第2世代 MV7N2J/A 送料無料 在庫処分 1,000円～            当店のオークションへご入札頂く前に、以下の内容をよくお読み頂き、ご確認下さい。    商品紹介       項　目 説　明     メーカー Apple   仕　様 仕様は参考サイトをご覧下さい。参考サイト   商品について  商品は新品、未開封品です。 本体は新品、パッケージシュリンク未開封です。 保証がすでに始まっており、有効期限 (推定)：2020年7月8日までのメーカー保証となります。在庫処分の為1,000円からのスタートとなります。 ＊オークション終了間際には質問に答えられない場合がございますのでご注意ください。                       ＊希望落札価格を設定してない商品においては、即決はできませんのでご了承下さい。         お支払い方法に関して  「Yahoo!かんたん決済」「銀行振込」",22632,62,0
5,1,【未開封】新品未開封 アップル Apple AirPods with charging case 第2世代 Air Pods2 MV7N2J/A iPhone ,100,17500,0,2019-10-10 06:19:58,2019-10-12 13:19:58,55.0,18,【未開封】 未使用 Air Pods2 新品 MV7N2J/A 送料無料ノークレーム、ノーリターン、ノーキャンセルでお願い致します。お支払い方法はYahoo!かんたん決済か口座振込です。落札後24時間以内にご連絡をお願い致します。ない場合は落札者都合でキャンセルさせていただきます。よろしくお願いします。,468,3,3
6,0,【新品未開封】 送料無料Apple 純正 AirPods エアーポッズ with Charging Case 第2世代 2019年 MV7N2J/A アップル ワイヤレスイヤホン,17800,17800,1,2019-10-08 14:11:41,2019-10-12 13:14:10,95.0,1,Apple AirPods with Charging Case 2019年モデル MV7N2J/A製品紹介（Apple HPより）https://www.apple.com/jp/airpods/新品未開封9個在庫ございまして、同梱できます。複数落札結構です。よろしくお願いいたします。,1321,51,0
7,1,【新品未開封】Apple AirPods with Charging Case（第2世代）(MV7N2J/A)【送料無料】,18000,18500,1,2019-10-09 17:04:12,2019-10-12 13:04:11,67.0,1,新品未開封のApple AirPods with Charging Case（第2世代）(MV7N2J/A)です。製品の仕様については以下をご確認くださいhttps://www.apple.com/jp/airpods/・新規(5以下)や評価の悪い方(95%未満)は入札を取り消す場合があります。・落札から24時間以内にかんたん決済の手続きが確認できない場合には、落札者都合で落札者を削除させていただきます。,165,0,0
8,0,新品 目玉 ケ-ス AirPods Z-1K 軽量小型 AirPods第1世代と第2世代に対応 Apple AirPods,1,101,1,2019-10-11 12:49:57,2019-10-12 12:49:57,24.0,1,▼商品詳細▼AirPods ケ-ス Apple AirPods 第1/2世代に適用【前のLEDライトが見える】シリコン素材 ソフト エア-ポッズ用ケ-ス カラビナ付き 紛失防止 滑り止め 全面保護カバ- 脱着簡単 着装ままワイヤレス充電可能 耐衝撃 防塵 軽量小型 AirPods第1世代と第2世代に対応              BUYUNEED                             BUYUNEED               ●お支払い代金【落札代金】＋【送料】＝【お支払い代金】 送料は全国一律　1280円となります。●お支払い方法 Yahoo！かんたん決済●発送方法ヤマト運輸、ゆうバック、佐川急便等。 ※局留め、その他の商品との同梱や領収証の添付はお受けできませんこと予めご了承下さい。,79,0,0
9,0,新品　未使用　エアポッズ　第2世代　2019年8月1日購入 新型 Bluetooth MV7N2J/A　AirPods with Charging Case　未開封品,17000,17000,0,2019-10-06 01:45:54,2019-10-12 12:45:09,154.0,1,新品未開封品8月1日にヤマダ電機にて購入レシートはお付けします。MV7N2J/A AirPods with Charging Case,290,3,4
